_0problem_exc,_1training_time_exc,_2skl_meth_exc,_3prediction_exc,_4convert_exc,available,available-ERROR,cl,name,opset,ort_version,prediction_time,problem,scenario,skl_version,subfolder,training_time
,,'LinearRegression' object has no attribute 'predict_proba',,,,,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,,0.2,,bin-class,reg,0.22.dev0,feature_selection,-0.0016612320000000125
,,,,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,,,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,1.0,0.2,-0.000176987999999767,multi-class,cl,0.22.dev0,feature_selection,-0.002422515000001013
,,,,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,,,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,2.0,0.2,-0.000176987999999767,multi-class,cl,0.22.dev0,feature_selection,-0.002422515000001013
,,,,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,,,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,3.0,0.2,-0.000176987999999767,multi-class,cl,0.22.dev0,feature_selection,-0.002422515000001013
,,,,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,,,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,4.0,0.2,-0.000176987999999767,multi-class,cl,0.22.dev0,feature_selection,-0.002422515000001013
,,,,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,,,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,5.0,0.2,-0.000176987999999767,multi-class,cl,0.22.dev0,feature_selection,-0.002422515000001013
,,,,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,,,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,6.0,0.2,-0.000176987999999767,multi-class,cl,0.22.dev0,feature_selection,-0.002422515000001013
,,,,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,,,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,7.0,0.2,-0.000176987999999767,multi-class,cl,0.22.dev0,feature_selection,-0.002422515000001013
,,,,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,,,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,8.0,0.2,-0.000176987999999767,multi-class,cl,0.22.dev0,feature_selection,-0.002422515000001013
,,,,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,,,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,9.0,0.2,-0.000176987999999767,multi-class,cl,0.22.dev0,feature_selection,-0.002422515000001013
,,,,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,,,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,10.0,0.2,-0.000176987999999767,multi-class,cl,0.22.dev0,feature_selection,-0.002422515000001013
,,,,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,ERROR-_4convert_exc,Unsupported type '<class 'list'>'. You may raise an issue at https://github.com/onnx/sklearn-onnx/issues.,<class 'sklearn.feature_selection.rfe.RFE'>,RFE,11.0,0.2,-0.000176987999999767,multi-class,cl,0.22.dev0,feature_selection,-0.002422515000001013
