"index","ID","Age","Employment","Education","Marital","Occupation","Income","Gender","Deductions","Hours","IGNORE_Accounts","RISK_Adjustment","TARGET_Adjusted"
"1",1004641,38,"Private","College","Unmarried","Service",81838,"Female",0,72,"UnitedStates",0,0
"2",1010229,35,"Private","Associate","Absent","Transport",72099,"Male",0,30,"Jamaica",0,0
"3",1024587,32,"Private","HSgrad","Divorced","Clerical",154676.74,"Male",0,40,"UnitedStates",0,0
"4",1038288,45,"Private","Bachelor","Married","Repair",27743.82,"Male",0,55,"UnitedStates",7298,1
"5",1044221,60,"Private","College","Married","Executive",7568.23,"Male",0,40,"UnitedStates",15024,1
"6",1047095,74,"Private","HSgrad","Married","Service",33144.4,"Male",0,30,"UnitedStates",0,0
"7",1047698,43,"Private","Bachelor","Married","Executive",43391.17,"Male",0,50,"UnitedStates",22418,1
"8",1053888,35,"Private","Yr12","Married","Machinist",59906.65,"Male",0,40,"UnitedStates",0,0
"9",1061323,25,"Private","Associate","Divorced","Clerical",126888.91,"Female",0,40,"UnitedStates",0,0
"10",1062363,22,"Private","HSgrad","Absent","Sales",52466.49,"Female",0,37,"UnitedStates",0,0
"11",1068642,48,"Private","College","Divorced","Service",291416.11,"Female",0,35,"UnitedStates",0,0
"12",1071615,60,"Private","Vocational","Widowed","Clerical",24155.31,"Male",0,40,"UnitedStates",0,0
"13",1071878,21,"Private","College","Absent","Service",143254.86,"Female",0,35,"UnitedStates",0,0
"14",1077831,21,"Private","College","Absent","Machinist",120554.81,"Male",0,40,"UnitedStates",0,0
"15",1084870,50,"Private","Master","Married","Executive",34919.16,"Male",0,40,"Philippines",7298,1
"16",1085176,37,"Private","HSgrad","Divorced","Executive",67176.79,"Male",0,35,"UnitedStates",0,0
"17",1093662,30,"Consultant","HSgrad","Divorced","Repair",9608.48,"Male",0,40,"UnitedStates",0,0
"18",1094029,32,"Private","HSgrad","Married","Machinist",12475.84,"Male",0,40,"UnitedStates",0,0
"19",1099084,65,"SelfEmp","College","Married","Sales",32963.39,"Male",0,40,"UnitedStates",0,0
"20",1099829,28,"Private","College","Married","Executive",31534.97,"Male",0,55,"UnitedStates",0,0
"21",1110947,40,"PSLocal","Vocational","Divorced","Executive",182165.08,"Female",0,40,"UnitedStates",0,0
"22",1113899,41,"PSState","Bachelor","Divorced","Executive",70603.7,"Male",0,40,"UnitedStates",0,0
"23",1126025,30,"Private","HSgrad","Absent","Service",88125.97,"Male",0,30,"UnitedStates",0,0
"24",1129687,38,"Private","HSgrad","Married","Repair",8670.9,"Male",0,40,"UnitedStates",0,0
"25",1133761,23,"Private","Yr11","Unmarried","Professional",260405.44,"Male",0,35,"UnitedStates",0,0
"26",1135666,42,"PSState","College","Absent","Executive",66139.36,"Female",0,40,"UnitedStates",0,0
"27",1139749,26,"Private","Bachelor","Absent","Sales",73751.48,"Female",0,40,"UnitedStates",0,0
"28",1141887,32,"Consultant","HSgrad","Married","Sales",1428.27,"Male",0,60,"UnitedStates",28235,1
"29",1142177,49,"PSFederal","College","Married","Support",15345.33,"Male",0,40,"UnitedStates",0,1
"30",1142367,26,"Private","HSgrad","Married","Repair",48114.39,"Male",0,40,"Mexico",0,0
"31",1142837,28,"Private","Yr10","Married","Machinist",33493.89,"Male",0,40,"UnitedStates",0,0
"32",1145025,41,"PSFederal","Bachelor","Married","Support",54653.36,"Male",0,24,"UnitedStates",0,0
"33",1146358,46,"Private","HSgrad","Absent","Service",229077.27,"Female",0,24,"UnitedStates",0,0
"34",1147562,42,"Private","College","Absent","Machinist",59201.06,"Female",0,40,"UnitedStates",0,0
"35",1151685,39,"Private","College","Divorced","Clerical",31036.73,"Female",0,40,"UnitedStates",0,0
"36",1153241,50,"Private","Yr11","Absent","Machinist",187250.07,"Female",0,40,"UnitedStates",0,0
"37",1155672,47,"PSLocal","Doctorate","Absent","Professional",161837.75,"Female",0,40,"UnitedStates",0,0
"38",1157546,24,"Private","Associate","Unmarried","Repair",193135.59,"Male",0,40,"UnitedStates",8614,1
"39",1158519,45,"Private","Vocational","Married","Repair",26717.49,"Male",0,40,"UnitedStates",0,0
"40",1169595,40,"PSFederal","Associate","Absent","Clerical",99748.58,"Female",0,40,"UnitedStates",0,0
"41",1172381,51,"SelfEmp","Doctorate","Married","Professional",13612.07,"Male",0,40,"UnitedStates",15024,1
"42",1172752,77,"Private","HSgrad","Married","Service",39950.92,"Male",0,25,"Cuba",0,0
"43",1177328,35,"Private","College","Married","Support",44130.45,"Male",0,45,"UnitedStates",0,0
"44",1178076,39,"Private","Yr9","Divorced","Cleaner",78516.3,"Male",0,50,"UnitedStates",0,0
"45",1197102,39,"PSState","Bachelor","Absent","Executive",92268.68,"Female",0,40,"UnitedStates",0,0
"46",1199127,63,"SelfEmp","Bachelor","Married","Farming",9092.19,"Male",0,40,"UnitedStates",12467,1
"47",1205484,64,"Private","HSgrad","Widowed","Service",148865.82,"Female",0,38,"UnitedStates",0,0
"48",1210411,39,"Private","Bachelor","Married","Professional",21190.02,"Male",0,40,"UnitedStates",3611,1
"49",1211118,66,"Private","Yr5t6","Married-spouse-absent","Cleaner",139087.01,"Female",0,40,"Malaysia",0,0
"50",1212771,18,"Unemployed","Yr11","Absent",NA,148836.93,"Female",0,10,"UnitedStates",0,0
"51",1216471,42,"PSLocal","College","Married","Executive",48422.28,"Male",0,45,"UnitedStates",3187,1
"52",1218427,31,"PSLocal","College","Absent","Clerical",67012.13,"Female",0,40,"UnitedStates",0,0
"53",1222601,31,"Private","Bachelor","Married","Executive",6333,"Male",2246,45,"UnitedStates",7582,1
"54",1226867,45,"Private","Professional","Absent","Professional",44102.23,"Male",0,40,"UnitedStates",5222,1
"55",1230404,19,"PSLocal","College","Absent","Service",97937.09,"Female",0,35,"UnitedStates",0,0
"56",1233450,32,"Private","HSgrad","Married","Machinist",14657.59,"Male",0,40,"UnitedStates",0,0
"57",1254408,27,"Private","Bachelor","Absent","Professional",89775.14,"Male",0,40,"UnitedStates",13550,1
"58",1258702,25,"Private","HSgrad","Married","Transport",56417.35,"Male",0,30,"UnitedStates",0,0
"59",1259473,21,"Private","College","Absent","Clerical",43362.93,"Male",0,65,"UnitedStates",0,0
"60",1264690,33,"Consultant","HSgrad","Absent","Farming",214238.62,"Male",0,70,"UnitedStates",0,0
"61",1264939,43,NA,"HSgrad","Absent",NA,61192.65,"Female",0,40,"UnitedStates",0,0
"62",1267022,31,"Private","Bachelor","Absent","Executive",83143.19,"Male",1160.66666666667,38,"UnitedStates",0,0
"63",1272722,56,"PSFederal","Bachelor","Divorced","Clerical",37078.8,"Male",0,40,"UnitedStates",0,0
"64",1273089,62,"Volunteer","Associate","Married","Farming",51230.5,"Male",0,50,"UnitedStates",0,0
"65",1276387,28,"Private","Associate","Absent","Transport",166953.87,"Male",0,60,"UnitedStates",0,0
"66",1276913,39,"Private","HSgrad","Married","Executive",28907.41,"Male",0,40,"UnitedStates",0,0
"67",1282955,61,"PSLocal","Master","Absent","Professional",5138.14,"Female",0,25,"UnitedStates",0,0
"68",1287816,32,"Private","HSgrad","Absent","Sales",82182.54,"Female",0,50,"UnitedStates",0,0
"69",1288612,48,"PSState","Bachelor","Married","Executive",45239,"Male",0,40,"UnitedStates",12988,1
"70",1288870,27,"Private","HSgrad","Married","Farming",25990.54,"Male",0,40,"UnitedStates",0,0
"71",1292427,20,"Private","Yr9","Absent","Transport",104396.02,"Male",0,50,"UnitedStates",0,0
"72",1293079,37,"Private","HSgrad","Absent","Machinist",83414.55,"Male",0,40,"UnitedStates",0,0
"73",1298943,43,"Private","College","Married","Repair",32684.53,"Male",0,38,"UnitedStates",0,0
"74",1301028,47,"Consultant","HSgrad","Married","Machinist",61231.06,"Male",0,40,"UnitedStates",7298,1
"75",1310818,33,"Private","Yr11","Absent","Service",32550.53,"Male",0,40,"UnitedStates",0,0
"76",1312365,64,"Private","HSgrad","Married","Machinist",61592.42,"Male",0,40,"UnitedStates",0,0
"77",1312435,44,"Private","Bachelor","Married","Sales",37662.02,"Male",0,50,"UnitedStates",7688,1
"78",1314358,23,"Private","College","Absent","Service",100335.51,"Female",0,35,"UnitedStates",0,0
"79",1315432,22,"Private","HSgrad","Absent","Service",342939.73,"Female",0,35,"UnitedStates",0,0
"80",1318398,49,"PSLocal","Master","Married","Executive",30098.58,"Male",0,50,"UnitedStates",5239,1
"81",1322745,28,"PSFederal","HSgrad","Absent","Executive",150516.9,"Female",0,70,"Malaysia",0,0
"82",1325704,36,"Private","HSgrad","Divorced","Transport",43380.64,"Male",0,50,"UnitedStates",0,0
"83",1347511,22,"Private","Bachelor","Absent","Professional",24584.08,"Female",0,15,"Germany",0,0
"84",1365727,29,"Private","Vocational","Married","Transport",25402.11,"Male",0,55,"UnitedStates",0,0
"85",1367013,26,"Private","College","Absent","Support",151462.25,"Male",0,20,"UnitedStates",0,0
"86",1367887,44,"Private","Bachelor","Married","Executive",29461.26,"Male",0,40,"UnitedStates",10198,1
"87",1382647,26,"Private","Associate","Absent","Clerical",38142.98,"Female",0,8,"UnitedStates",0,0
"88",1383516,28,"Private","Bachelor","Absent","Executive",76539.28,"Female",0,60,"UnitedStates",0,0
"89",1391108,19,"Private","Yr11","Absent","Sales",71627.78,"Female",0,25,"UnitedStates",0,0
"90",1394083,45,"Consultant","HSgrad","Married","Sales",38599.89,"Male",0,50,"Vietnam",4375,1
"91",1398239,35,"Private","College","Divorced","Sales",9034.01,"Female",0,35,"UnitedStates",0,0
"92",1398832,42,"Private","Vocational","Married","Service",22787.48,"Male",0,30,"UnitedStates",0,0
"93",1400557,58,"PSState","Doctorate","Married","Professional",33252.79,"Male",0,40,"India",0,0
"94",1401108,55,"Private","College","Married","Repair",39087.51,"Male",0,40,"UnitedStates",0,0
"95",1434262,25,"Private","HSgrad","Absent","Repair",174812.5,"Male",0,28,"UnitedStates",0,0
"96",1440111,78,"SelfEmp","Bachelor","Married","Executive",39472.73,"Male",0,45,"UnitedStates",9386,1
"97",1454004,53,"PSLocal","HSgrad","Married","Executive",56065.12,"Male",0,60,"UnitedStates",0,0
"98",1455874,34,"Private","Vocational","Married","Executive",35910.03,"Male",0,40,"UnitedStates",0,0
"99",1457685,28,"Private","College","Married","Sales",37249.5,"Male",0,40,"UnitedStates",0,0
"100",1467638,50,"Private","HSgrad","Married","Sales",47011.78,"Male",0,48,"UnitedStates",0,0
"101",1467797,47,"Consultant","College","Married","Clerical",203798.03,"Female",0,35,"UnitedStates",4779,1
"102",1471496,61,"SelfEmp","Master","Widowed","Executive",92158.43,"Female",0,99,"UnitedStates",0,0
"103",1472475,45,"Consultant","Professional","Absent","Professional",91088.9,"Male",0,30,"UnitedStates",0,1
"104",1474194,33,"Private","HSgrad","Married","Repair",34078.48,"Male",0,40,"UnitedStates",0,0
"105",1474221,39,"Private","Bachelor","Married","Support",27397.18,"Male",0,50,"UnitedStates",1002,1
"106",1488053,60,"Private","College","Divorced","Repair",86618.25,"Male",0,44,"UnitedStates",7510,1
"107",1493406,43,"Private","College","Married","Professional",27604.3,"Male",0,40,"UnitedStates",0,0
